key,source,Translation,context
CombatChatter::CombatChatter.PlayerKillCelebration.Forsaken2,Stay on target!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S03c_PlayerKillCelebrationStageC.json
Name: DA_CC_ALL_S03c_PlayerKillCelebrationStageC
Speaker: Forsaken
DialogueText"
62A28C15479106CF3AC5FDB4C7103312,Stay on target!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S03c_PlayerKillCelebrationStageC.json
Name: DA_CC_ALL_S03c_PlayerKillCelebrationStageC
Speaker: Forsaken
DialogueText"
CombatChatter::CombatChatter.PlayerKillCelebration.Forsaken4,No survivors!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S03c_PlayerKillCelebrationStageC.json
Name: DA_CC_ALL_S03c_PlayerKillCelebrationStageC
Speaker: Forsaken
DialogueText"
4394BE6D45C05A0929308F811D32DC65,They all… burn!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S03c_PlayerKillCelebrationStageC.json
Name: DA_CC_ALL_S03c_PlayerKillCelebrationStageC
Speaker: Nara
DialogueText"
E0CDB38D4E9A2F8CC727EC83858F3770,Fighting… without mercy!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S03c_PlayerKillCelebrationStageC.json
Name: DA_CC_ALL_S03c_PlayerKillCelebrationStageC
Speaker: Nara
DialogueText"
D4C7064745094F6AE2662EA79FE279BA,Targeted… and eliminated!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S03c_PlayerKillCelebrationStageC.json
Name: DA_CC_ALL_S03c_PlayerKillCelebrationStageC
Speaker: Nara
DialogueText"
51EF1078467D87B1DACBED83DCFD29B7,Their end… at last!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S03c_PlayerKillCelebrationStageC.json
Name: DA_CC_ALL_S03c_PlayerKillCelebrationStageC
Speaker: Nara
DialogueText"
8E6B70A34CF9755C72FE90800C11E888,Blown… to bits!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S03c_PlayerKillCelebrationStageC.json
Name: DA_CC_ALL_S03c_PlayerKillCelebrationStageC
Speaker: Nara
DialogueText"
FA69DDE343488F065525BB818E30AC88,Incoming… destroyed!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S03c_PlayerKillCelebrationStageC.json
Name: DA_CC_ALL_S03c_PlayerKillCelebrationStageC
Speaker: Nara
DialogueText"
83972D5B4C231D316287808CCCCADAC0,Complete… carnage!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S03c_PlayerKillCelebrationStageC.json
Name: DA_CC_ALL_S03c_PlayerKillCelebrationStageC
Speaker: Nara
DialogueText"
75AD7E0349B90ADEBC9228BC07D83370,They're… burning down!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S03c_PlayerKillCelebrationStageC.json
Name: DA_CC_ALL_S03c_PlayerKillCelebrationStageC
Speaker: Nara
DialogueText"
4F4930DF4589967F1E04D5A3233054CC,Hostile… incinerated!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S03c_PlayerKillCelebrationStageC.json
Name: DA_CC_ALL_S03c_PlayerKillCelebrationStageC
Speaker: Nara
DialogueText"
EEFBC4D0401596D49A8E038CCBD6CFAD,The battle… is ours!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S03c_PlayerKillCelebrationStageC.json
Name: DA_CC_ALL_S03c_PlayerKillCelebrationStageC
Speaker: Nara
DialogueText"
3F321D9B4A3EF2274C1D2EA36CD7CD67,<IH1>Nice and steady.</>,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04a_PlayerHitCelebrationStageA.json
Name: DA_CC_ALL_S04a_PlayerHitCelebrationStageA
Speaker: Nara-Int
DialogueText"
B32E3E1C4875E5C2E8705DA3252E6E12,<IH1>I've got you.</>,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04a_PlayerHitCelebrationStageA.json
Name: DA_CC_ALL_S04a_PlayerHitCelebrationStageA
Speaker: Nara-Int
DialogueText"
9902E30B4223C507EAE55D96CC9EFC30,<IH1>Target hit. </>,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04a_PlayerHitCelebrationStageA.json
Name: DA_CC_ALL_S04a_PlayerHitCelebrationStageA
Speaker: Nara-Int
DialogueText"
735C781044D3D9F8B0AE6995B744044F,<IH1>Damaged you…</>,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04a_PlayerHitCelebrationStageA.json
Name: DA_CC_ALL_S04a_PlayerHitCelebrationStageA
Speaker: Nara-Int
DialogueText"
30B8DB5C47FC360CBF9F24AB918C046D,<IH1>Closing in…</>,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04a_PlayerHitCelebrationStageA.json
Name: DA_CC_ALL_S04a_PlayerHitCelebrationStageA
Speaker: Nara-Int
DialogueText"
027226E94996F313C948B4B4D6850D71,<IH1>Hit confirmed.</>,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04a_PlayerHitCelebrationStageA.json
Name: DA_CC_ALL_S04a_PlayerHitCelebrationStageA
Speaker: Nara-Int
DialogueText"
9679856743CEC7F98A8B01B890E99F62,<IH1>That hurts…</>,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04a_PlayerHitCelebrationStageA.json
Name: DA_CC_ALL_S04a_PlayerHitCelebrationStageA
Speaker: Nara-Int
DialogueText"
4CFD51E240CFC4BE92ECF682010BF4DD,<IH1>Focus… fire…</>,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04a_PlayerHitCelebrationStageA.json
Name: DA_CC_ALL_S04a_PlayerHitCelebrationStageA
Speaker: Nara-Int
DialogueText"
A448A4A74CCAAB7A19D2CA93C3CA30D9,<IH1>Got you…</>,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04a_PlayerHitCelebrationStageA.json
Name: DA_CC_ALL_S04a_PlayerHitCelebrationStageA
Speaker: Nara-Int
DialogueText"
AAC51F324BC50F4E758348B77BEFF79E,<IH1>You'll end soon.</>,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04a_PlayerHitCelebrationStageA.json
Name: DA_CC_ALL_S04a_PlayerHitCelebrationStageA
Speaker: Nara-Int
DialogueText"
BEAE8D5642BBD1DB8258EA98DD4797B4,<IH1>Almost down.</>,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04a_PlayerHitCelebrationStageA.json
Name: DA_CC_ALL_S04a_PlayerHitCelebrationStageA
Speaker: Nara-Int
DialogueText"
CA8DCECD4D9AC0A9852257AE157DB802,<IH1>More's coming…</>,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04a_PlayerHitCelebrationStageA.json
Name: DA_CC_ALL_S04a_PlayerHitCelebrationStageA
Speaker: Nara-Int
DialogueText"
6B31EABD4CC642C457699C9DDA98273F,<IH1>Your death is imminent.</>,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04b_PlayerHitlCelebrationStageB.json
Name: DA_CC_ALL_S04b_PlayerHitlCelebrationStageB
Speaker: Nara-Int
DialogueText"
90DA5E214A36AB019A8096B688771FBA,Another one hit!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04b_PlayerHitlCelebrationStageB.json
Name: DA_CC_ALL_S04b_PlayerHitlCelebrationStageB
Speaker: Nara
DialogueText"
CombatChatter::CombatChatter.PlayerHitCelebrationStageB.Nara2,Hit them hard.,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04b_PlayerHitlCelebrationStageB.json
Name: DA_CC_ALL_S04b_PlayerHitlCelebrationStageB
Speaker: Nara
DialogueText"
CombatChatter::CombatChatter.PlayerHitCelebrationStageB.Nara3,Fire and… strike.,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04b_PlayerHitlCelebrationStageB.json
Name: DA_CC_ALL_S04b_PlayerHitlCelebrationStageB
Speaker: Nara
DialogueText"
36D1E0524FFF469F54F10BBF2BC9608B,Damage confirmed.,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04b_PlayerHitlCelebrationStageB.json
Name: DA_CC_ALL_S04b_PlayerHitlCelebrationStageB
Speaker: Nara
DialogueText"
CombatChatter::CombatChatter.PlayerHitCelebrationStageB.Forsaken0,Go for the kill!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04b_PlayerHitlCelebrationStageB.json
Name: DA_CC_ALL_S04b_PlayerHitlCelebrationStageB
Speaker: Forsaken
DialogueText"
8409892D4148BBC687192FB1AE26EAD9,Shook them up!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04b_PlayerHitlCelebrationStageB.json
Name: DA_CC_ALL_S04b_PlayerHitlCelebrationStageB
Speaker: Forsaken
DialogueText"
CombatChatter::CombatChatter.PlayerHitCelebrationStageB.Forsaken2,Yes!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04b_PlayerHitlCelebrationStageB.json
Name: DA_CC_ALL_S04b_PlayerHitlCelebrationStageB
Speaker: Forsaken
DialogueText"
CombatChatter::CombatChatter.PlayerHitCelebrationStageB.Forsaken3,Strike fast!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04b_PlayerHitlCelebrationStageB.json
Name: DA_CC_ALL_S04b_PlayerHitlCelebrationStageB
Speaker: Forsaken
DialogueText"
CombatChatter::CombatChatter.PlayerHitCelebrationStageB.Forsaken4,Burn them all!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04b_PlayerHitlCelebrationStageB.json
Name: DA_CC_ALL_S04b_PlayerHitlCelebrationStageB
Speaker: Forsaken
DialogueText"
CombatChatter::CombatChatter.PlayerHitCelebrationStageB.Forsaken5,Make them bleed,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04b_PlayerHitlCelebrationStageB.json
Name: DA_CC_ALL_S04b_PlayerHitlCelebrationStageB
Speaker: Forsaken
DialogueText"
0E9029524657BE73816380AE7B80E8DD,Death imminent!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04b_PlayerHitlCelebrationStageB.json
Name: DA_CC_ALL_S04b_PlayerHitlCelebrationStageB
Speaker: Forsaken
DialogueText"
CombatChatter::CombatChatter.PlayerHitCelebrationStageB.Forsaken7,Death spiral.,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04b_PlayerHitlCelebrationStageB.json
Name: DA_CC_ALL_S04b_PlayerHitlCelebrationStageB
Speaker: Forsaken
DialogueText"
CombatChatter::CombatChatter.PlayerHitCelebrationStageB.Forsaken8,Hit them hard!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04b_PlayerHitlCelebrationStageB.json
Name: DA_CC_ALL_S04b_PlayerHitlCelebrationStageB
Speaker: Forsaken
DialogueText"
3F4F3D3B47F049B08DABDC8C777ECAE5,Death is inevitable.,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04b_PlayerHitlCelebrationStageB.json
Name: DA_CC_ALL_S04b_PlayerHitlCelebrationStageB
Speaker: Forsaken
DialogueText"
B506C98B42AC2365C0488998907152C1,And hit!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04c_PlayerHitlCelebrationStageC.json
Name: DA_CC_ALL_S04c_PlayerHitlCelebrationStageC
Speaker: Nara
DialogueText"
1BB1ED204EC1BB021EA21A813B8F8584,So you burn…,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04c_PlayerHitlCelebrationStageC.json
Name: DA_CC_ALL_S04c_PlayerHitlCelebrationStageC
Speaker: Nara
DialogueText"
7C842C14492545D1E57FF0BEB66AF701,Now burn!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04c_PlayerHitlCelebrationStageC.json
Name: DA_CC_ALL_S04c_PlayerHitlCelebrationStageC
Speaker: Nara
DialogueText"
C2C427E4484A7F16F366139C7D878ED1,Damaged!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04c_PlayerHitlCelebrationStageC.json
Name: DA_CC_ALL_S04c_PlayerHitlCelebrationStageC
Speaker: Forsaken
DialogueText"
4332A71D4ACA6F6A85D6EE967DA8739B,Focus your power!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04c_PlayerHitlCelebrationStageC.json
Name: DA_CC_ALL_S04c_PlayerHitlCelebrationStageC
Speaker: Forsaken
DialogueText"
CombatChatter::CombatChatter.PlayerHitCelebrationStageC.Forsaken2,Hit them fast!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04c_PlayerHitlCelebrationStageC.json
Name: DA_CC_ALL_S04c_PlayerHitlCelebrationStageC
Speaker: Forsaken
DialogueText"
7CFE1DFC42804913ABBC9C8B65901AAF,They're breaching!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04c_PlayerHitlCelebrationStageC.json
Name: DA_CC_ALL_S04c_PlayerHitlCelebrationStageC
Speaker: Forsaken
DialogueText"
D345D4F2481DFC1A511F038C59F985F7,Time to… hunt!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04c_PlayerHitlCelebrationStageC.json
Name: DA_CC_ALL_S04c_PlayerHitlCelebrationStageC
Speaker: Nara
DialogueText"
3C23EA14452CB3106D9DBC8A00337BE9,We are… unstoppable!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04c_PlayerHitlCelebrationStageC.json
Name: DA_CC_ALL_S04c_PlayerHitlCelebrationStageC
Speaker: Nara
DialogueText"
A79FD4AD4B803B9F648084AD66100EAE,Victory… imminent!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04c_PlayerHitlCelebrationStageC.json
Name: DA_CC_ALL_S04c_PlayerHitlCelebrationStageC
Speaker: Nara
DialogueText"
D8D0B7084D76A13F21278A9631148DA8,They'll… burn!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04c_PlayerHitlCelebrationStageC.json
Name: DA_CC_ALL_S04c_PlayerHitlCelebrationStageC
Speaker: Nara
DialogueText"
CE32070245DFF856D46F2B9EF19DF113,Hit… and burning!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04c_PlayerHitlCelebrationStageC.json
Name: DA_CC_ALL_S04c_PlayerHitlCelebrationStageC
Speaker: Forsaken
DialogueText"
440A53FC463D3D16B0FA4AAA03107531,You'll face… death!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04c_PlayerHitlCelebrationStageC.json
Name: DA_CC_ALL_S04c_PlayerHitlCelebrationStageC
Speaker: Forsaken
DialogueText"
CBD6442B494773B049F201AEACDEBFEF,Make your… peace!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S04c_PlayerHitlCelebrationStageC.json
Name: DA_CC_ALL_S04c_PlayerHitlCelebrationStageC
Speaker: Forsaken
DialogueText"
CombatChatter::CombatChatter.PlayerSuffersCriticalHitStageA.Nara0,Ooof!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA.json
Name: DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA
Speaker: Nara
DialogueText"
CombatChatter::CombatChatter.PlayerSuffersCriticalHitStageA.Nara1,Not now!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA.json
Name: DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA
Speaker: Nara
DialogueText"
CombatChatter::CombatChatter.PlayerSuffersCriticalHitStageA.Nara2,No!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA.json
Name: DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA
Speaker: Nara
DialogueText"
A0B92E514DA690D044D5A3852DBA071C,Uff…,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA.json
Name: DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA
Speaker: Nara
DialogueText"
E616723A46BF44457AF257BE2B4A7957,Damn…,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA.json
Name: DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA
Speaker: Nara
DialogueText"
55D466F84719D9741A22FCA8B423B7C9,Hit…,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA.json
Name: DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA
Speaker: Nara
DialogueText"
371C5CF2406CDB8CE33EAA96ECB28133,Ugh…,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA.json
Name: DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA
Speaker: Nara
DialogueText"
CombatChatter::CombatChatter.PlayerSuffersCriticalHitStageA.Nara7,Too close…,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA.json
Name: DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA
Speaker: Nara
DialogueText"
CombatChatter::CombatChatter.PlayerSuffersCriticalHitStageA.Nara8,Focus!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA.json
Name: DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA
Speaker: Nara
DialogueText"
CombatChatter::CombatChatter.PlayerSuffersCriticalHitStageA.Nara9,Blast it!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA.json
Name: DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA
Speaker: Nara
DialogueText"
3762F89842498740D17967A25FAABDE9,Arrrgh…,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA.json
Name: DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA
Speaker: Nara
DialogueText"
6F9636334D10BD4C5D1B72866DC6D200,Nooo…,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA.json
Name: DA_CC_ALL_S05a_PlayerSuffersCriticalHitStageA
Speaker: Nara
DialogueText"
C99F1E7D4C0CF60E1D857B8CB2C0C083,Damn.,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB.json
Name: DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB
Speaker: Nara
DialogueText"
9A91CA4449BEECC9BBD2609CF7A00556,<Groans>,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB.json
Name: DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB
Speaker: Nara
DialogueText"
F1086C064A8627236AA9C780B437CD6F,<Gasps>,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB.json
Name: DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB
Speaker: Nara
DialogueText"
F86BBD224FD02C94D9F286AF6242A4EA,Impact!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB.json
Name: DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB
Speaker: Nara
DialogueText"
E5CFBDAC4D8272517CFC2A84522F007B,<Grunts>,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB.json
Name: DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB
Speaker: Nara
DialogueText"
CombatChatter::CombatChatter.PlayerSuffersCriticalHitStageB.Forsaken0,Keep. Going.,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB.json
Name: DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB
Speaker: Forsaken
DialogueText"
574CBC924A1E55FA2D75E0BB1E997FE1,Full… impact!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB.json
Name: DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB
Speaker: Forsaken
DialogueText"
DED8E9444D7E52CC677992B2FBC0A5C8,Fight… on!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB.json
Name: DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB
Speaker: Forsaken
DialogueText"
B462449843B4647FC9524FB564DA3985,Must. Continue!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB.json
Name: DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB
Speaker: Forsaken
DialogueText"
CombatChatter::CombatChatter.PlayerSuffersCriticalHitStageB.Forsaken4,Too close.,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB.json
Name: DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB
Speaker: Forsaken
DialogueText"
CombatChatter::CombatChatter.PlayerSuffersCriticalHitStageB.Forsaken5,Evasive measures!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB.json
Name: DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB
Speaker: Forsaken
DialogueText"
CombatChatter::CombatChatter.PlayerSuffersCriticalHitStageB.Forsaken6,Will. Not. Stop.,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB.json
Name: DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB
Speaker: Forsaken
DialogueText"
CombatChatter::CombatChatter.PlayerSuffersCriticalHitStageB.Forsaken7,Get. Them.,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB.json
Name: DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB
Speaker: Forsaken
DialogueText"
CombatChatter::CombatChatter.PlayerSuffersCriticalHitStageB.Forsaken8,Still. Here.,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB.json
Name: DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB
Speaker: Forsaken
DialogueText"
22DE6B3446D700EFC2CC56B709434E3C,We. Must. Prevail!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB.json
Name: DA_CC_ALL_S05b_PlayerSuffersCriticalHitStageB
Speaker: Forsaken
DialogueText"
CombatChatter::CombatChatter.PlayerSuffersCriticalHitStageC.Nara0,Keep. On. firing!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC.json
Name: DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC
Speaker: Nara
DialogueText"
CombatChatter::CombatChatter.PlayerSuffersCriticalHitStageC.Nara1,Not… done!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC.json
Name: DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC
Speaker: Nara
DialogueText"
CombatChatter::CombatChatter.PlayerSuffersCriticalHitStageC.Nara2,Never stop…,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC.json
Name: DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC
Speaker: Nara
DialogueText"
CombatChatter::CombatChatter.PlayerSuffersCriticalHitStageC.Nara3,Never. Give. In.,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC.json
Name: DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC
Speaker: Nara
DialogueText"
C8A40A6A433D9226EE72FD9B593FF55B,Still. Fighting.,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC.json
Name: DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC
Speaker: Forsaken
DialogueText"
C7676CDC45CC2319891AC293657BF375,Fire… Faster!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC.json
Name: DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC
Speaker: Forsaken
DialogueText"
212C343A400DA2548D3416991B61E329,Focus!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC.json
Name: DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC
Speaker: Forsaken
DialogueText"
E688542B4B6417E511516E82F0EDF7E0,Kill. Them!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC.json
Name: DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC
Speaker: Forsaken
DialogueText"
61626FEA40E2D713B2A21AB4EAA1213C,Forsa! Keep going.,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC.json
Name: DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC
Speaker: Nara
DialogueText"
E50A22A045BF7AFB28D09D8B76EBA07F,We are… not beaten.,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC.json
Name: DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC
Speaker: Nara
DialogueText"
D9C8E5DA421FA39C307A65A27C835332,We will… keep on.,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC.json
Name: DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC
Speaker: Nara
DialogueText"
522905774D0F5123030290AAB8750994,Just… a scratch!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC.json
Name: DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC
Speaker: Nara
DialogueText"
2BA3E09A42BFE6825C7214844A6E2D69,We must… move faster.,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC.json
Name: DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC
Speaker: Nara
DialogueText"
EEFD77164C09CCB57D5120A2543D9DA3,We will… defeat them.,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC.json
Name: DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC
Speaker: Nara
DialogueText"
0202308B41C7A2998203BF92B89B49FE,We shall… prevail!,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC.json
Name: DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC
Speaker: Nara
DialogueText"
2639FE6B4F6BE4A658C27E93FB54455C,No pain… stops us.,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC.json
Name: DA_CC_ALL_S05c_PlayerSuffersCriticalHitStageC
Speaker: Nara
DialogueText"
F84282BE4F8AF13C2A9584AE5F12B623,<IH1>Hunting you down!</>,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S07_RiteHuntSucceedsNPC.json
Name: DA_CC_ALL_S07_RiteHuntSucceedsNPC
Speaker: Nara-Int
DialogueText"
A9BAF4E24009666CCB400FA5E955E88D,<IH1>Pounce… Got them!</>,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S07_RiteHuntSucceedsNPC.json
Name: DA_CC_ALL_S07_RiteHuntSucceedsNPC
Speaker: Nara-Int
DialogueText"
81FE1D3849D0E1776C05F38827C4B20E,"<IH1>I leap, they die!</>",,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S07_RiteHuntSucceedsNPC.json
Name: DA_CC_ALL_S07_RiteHuntSucceedsNPC
Speaker: Nara-Int
DialogueText"
DB2CC3AF44B54E44301BD9A973C998D4,<IH1>Hunting!</>,,"Dialog/CombatChatter/Dialogues/DA_CC_ALL_S07_RiteHuntSucceedsNPC.json
Name: DA_CC_ALL_S07_RiteHuntSucceedsNPC
Speaker: Nara-Int
DialogueText"
